,south G(i) [kWh/m2],south_east G(i) [kWh/m2],east G(i) [kWh/m2],north_east G(i) [kWh/m2],north G(i) [kWh/m2],north_west G(i) [kWh/m2],west G(i) [kWh/m2],south_west G(i) [kWh/m2],T2m
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.16
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.98
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.96
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.99
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.27
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.66
8,155.94,211.01,154.25,14.59,14.59,14.59,14.59,21.3,-2.43
9,645.62,737.04,418.47,22.34,22.34,22.34,22.34,197.75,-0.67
10,761.95,722.6,290.55,31.46,31.46,31.46,31.46,385.55,1.39
11,887.62,687.72,115.12,27.82,27.82,27.82,27.82,597.71,2.36
12,887.6,536.66,25.08,25.08,25.08,25.08,196.75,746.81,2.77
13,737.25,316.72,26.9,26.9,26.9,26.9,353.87,752.64,3.13
14,540.72,117.46,18.7,18.7,18.7,18.7,417.31,664.92,2.94
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.63
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.33
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.91
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.41
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.63
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.19
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.83
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.12
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.03
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.96
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08
32,23.02,27.01,22.94,10.03,10.03,10.03,10.03,13.3,-1.69
33,32.92,32.92,32.92,25.08,25.08,25.08,25.08,32.92,-1.02
34,32.92,32.92,32.92,25.08,25.08,25.08,25.08,32.92,-0.09
35,50.87,50.87,50.87,38.76,38.76,38.76,38.76,50.87,0.78
36,56.83,55.13,40.13,40.13,40.13,40.13,53.46,56.14,1.49
37,59.9,54.15,38.3,38.3,38.3,38.3,54.63,60.1,2.11
38,35.8,30.51,22.34,22.34,22.34,22.34,34.25,37.35,2.16
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59
